<<<<<<< HEAD
race,FPR,TPR,threshold,auc,n
Caucasian,0.029940119760479042,0.13947990543735225,0.48837745689524037,0.6585693860505938,924
Caucasian,0.031936127744510975,0.13947990543735225,0.48818145326426227,0.6585693860505938,924
Caucasian,0.031936127744510975,0.14184397163120568,0.48809307490492654,0.6585693860505938,924
Caucasian,0.033932135728542916,0.14184397163120568,0.4879775624189353,0.6585693860505938,924
Caucasian,0.033932135728542916,0.14420803782505912,0.48796078279915156,0.6585693860505938,924
Caucasian,0.03592814371257485,0.14420803782505912,0.48779773396113696,0.6585693860505938,924
Caucasian,0.03992015968063872,0.14420803782505912,0.48769810516178036,0.6585693860505938,924
Caucasian,0.03992015968063872,0.15130023640661938,0.48743624323241536,0.6585693860505938,924
Caucasian,0.03992015968063872,0.15602836879432624,0.4874316237604225,0.6585693860505938,924
Caucasian,0.043912175648702596,0.15602836879432624,0.48699519489165655,0.6585693860505938,924
Caucasian,0.043912175648702596,0.1607565011820331,0.4869665227325777,0.6585693860505938,924
Caucasian,0.043912175648702596,0.16312056737588654,0.4869365062275122,0.6585693860505938,924
Caucasian,0.04590818363273453,0.16312056737588654,0.4868920336238893,0.6585693860505938,924
Caucasian,0.04590818363273453,0.16548463356973994,0.4868807411768806,0.6585693860505938,924
Caucasian,0.04590818363273453,0.1702127659574468,0.48669394639256996,0.6585693860505938,924
Caucasian,0.04590818363273453,0.17494089834515367,0.48649923844878307,0.6585693860505938,924
Caucasian,0.04590818363273453,0.18203309692671396,0.48618447892862654,0.6585693860505938,924
Caucasian,0.04590818363273453,0.1867612293144208,0.48603537102166816,0.6585693860505938,924
Caucasian,0.04590818363273453,0.19148936170212766,0.4859534165968763,0.6585693860505938,924
Caucasian,0.04590818363273453,0.19621749408983452,0.48594083820975037,0.6585693860505938,924
Caucasian,0.04790419161676647,0.19621749408983452,0.48591808863580505,0.6585693860505938,924
Caucasian,0.04790419161676647,0.19858156028368795,0.4859084155004047,0.6585693860505938,924
Caucasian,0.04790419161676647,0.2033096926713948,0.48575832057601764,0.6585693860505938,924
Caucasian,0.05389221556886228,0.2033096926713948,0.4850140646899675,0.6585693860505938,924
Caucasian,0.05389221556886228,0.20567375886524822,0.48500205957364173,0.6585693860505938,924
Caucasian,0.05389221556886228,0.21040189125295508,0.48495231507520453,0.6585693860505938,924
Caucasian,0.05389221556886228,0.21749408983451538,0.48490058179263784,0.6585693860505938,924
Caucasian,0.059880239520958084,0.21749408983451538,0.4847906303437476,0.6585693860505938,924
Caucasian,0.059880239520958084,0.22458628841607564,0.48442718984893185,0.6585693860505938,924
Caucasian,0.0658682634730539,0.22458628841607564,0.484314626347655,0.6585693860505938,924
Caucasian,0.0658682634730539,0.23167848699763594,0.48416210691425593,0.6585693860505938,924
Caucasian,0.06986027944111776,0.23167848699763594,0.483971784424562,0.6585693860505938,924
Caucasian,0.06986027944111776,0.23404255319148937,0.4838826755113156,0.6585693860505938,924
Caucasian,0.06986027944111776,0.24113475177304963,0.4838584439707545,0.6585693860505938,924
Caucasian,0.06986027944111776,0.24349881796690306,0.48371228748968453,0.6585693860505938,924
Caucasian,0.07385229540918163,0.24349881796690306,0.48369477175719194,0.6585693860505938,924
Caucasian,0.07385229540918163,0.2458628841607565,0.4836453515891914,0.6585693860505938,924
Caucasian,0.07984031936127745,0.2458628841607565,0.48346216958515537,0.6585693860505938,924
Caucasian,0.07984031936127745,0.24822695035460993,0.48337955005850247,0.6585693860505938,924
Caucasian,0.08183632734530938,0.24822695035460993,0.4833695336548587,0.6585693860505938,924
Caucasian,0.08183632734530938,0.25059101654846333,0.4833060619957287,0.6585693860505938,924
Caucasian,0.08183632734530938,0.2553191489361702,0.4832704304541481,0.6585693860505938,924
Caucasian,0.08183632734530938,0.2624113475177305,0.48318958135461165,0.6585693860505938,924
Caucasian,0.08383233532934131,0.2624113475177305,0.4831547451131145,0.6585693860505938,924
Caucasian,0.08383233532934131,0.26713947990543735,0.4831317018073257,0.6585693860505938,924
Caucasian,0.08782435129740519,0.26713947990543735,0.4830426025700809,0.6585693860505938,924
Caucasian,0.08782435129740519,0.2695035460992908,0.4830056723380029,0.6585693860505938,924
Caucasian,0.09580838323353294,0.2695035460992908,0.48275154801045506,0.6585693860505938,924
Caucasian,0.09580838323353294,0.27423167848699764,0.4826702772691098,0.6585693860505938,924
Caucasian,0.09580838323353294,0.2765957446808511,0.482618451447988,0.6585693860505938,924
Caucasian,0.0998003992015968,0.2765957446808511,0.4823860898302202,0.6585693860505938,924
Caucasian,0.0998003992015968,0.2789598108747045,0.48235673777713906,0.6585693860505938,924
Caucasian,0.0998003992015968,0.28368794326241137,0.48226326388172536,0.6585693860505938,924
Caucasian,0.10379241516966067,0.28368794326241137,0.48207734541023767,0.6585693860505938,924
Caucasian,0.10379241516966067,0.29314420803782504,0.48181379732581064,0.6585693860505938,924
Caucasian,0.10978043912175649,0.29314420803782504,0.48174720012972116,0.6585693860505938,924
Caucasian,0.10978043912175649,0.30023640661938533,0.48158343604194126,0.6585693860505938,924
Caucasian,0.10978043912175649,0.3049645390070922,0.48135405883074434,0.6585693860505938,924
Caucasian,0.11976047904191617,0.3049645390070922,0.4810525086205189,0.6585693860505938,924
Caucasian,0.11976047904191617,0.3144208037825059,0.4809915431725105,0.6585693860505938,924
Caucasian,0.11976047904191617,0.31678486997635935,0.48091213441805036,0.6585693860505938,924
Caucasian,0.1217564870259481,0.31678486997635935,0.4808758655137462,0.6585693860505938,924
Caucasian,0.1217564870259481,0.3262411347517731,0.480761524952239,0.6585693860505938,924
Caucasian,0.12574850299401197,0.3262411347517731,0.48073458977436684,0.6585693860505938,924
